singRecp,singRecp-href,Overview,Profile,Rating,Ingred1,Ingred2,Ingred3,Ingred4,Ingred5,Ingred6,Ingred7,Ingred8,Ingred9,Ingred10,Ingred11,Ingred12,Procedure
"Not So Oatmeal","https://beerrecipes.org/Recipe/327/not-so-oatmeal.html","Beer Style: Oatmeal Stout (13C)

Recipe Type: extract

Yield: 5 US gallons","Final Gravity: 1.018
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.8 stars based on 12 votes

No reviews","3.3 pounds, Munton & Fison plain light extract","4 pounds, Alexanders pale unhopped extract","1/2 pound, black patent malt","1/4 pound, roasted barley","1/2 pound, crystal or cara-pils malt","1/2 pound, steel cut oats","1 ounce, Hallertauer hops (boil)","3/4 ounce, Fuggles hops (boil)","1 ounce, Cascade hops (finish)","1/2 ounce, Cascade hops (dry)","14 grams, Muntona ale yeast","Irish moss","This is the third of a series of experiments in brewing oatmeal stouts. It is an extract brew, with specialty grains being added in the standard stovetop method and removed at boil. Grains are cracked with a rolling pin and boiled for 30 minutes before straining. The finishing hops are added 5 minutes before the end of the boil. The dry hopping is done after 4 days in the primary."
"Vienna Steam","https://beerrecipes.org/Recipe/1249/vienna-steam.html","Beer Style: California Common Beer (7B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.055
 Final Gravity: 1.015
 Alcohol by Vol: 5.24%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.7 stars based on 15 votes

No reviews","9lbs Vienna Malt","1lb Munich",".33lb Pale Chocolate","1oz Northern Brewer @ 60min",".5oz Northern Brewer @ 30min",".5oz Northern Brewer @ 10min","Wyeast 1L starter of 2112","null","null","null","null","null","Mash 4 gallons in at 70C

Batch Sparge w/ 4 gallons at 80C

Cool to 18C

Pitch Starter

Bring to Fermentation and then place in basement for 4 days

Rack to secondary 

After 7 more days Package Beer"
"Eric's Roggen Rye Ale","https://beerrecipes.org/Recipe/10839/erics-roggen-rye-ale.html","Beer Style: Roggenbier (German Rye Beer) (15D)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.078 (18.8° P)
 Final Gravity: 1.020 SG (5.0° P)
 Alcohol by Vol: 7.8%
 Color SRM: 15.6  Color Sample 
 Bitterness IBU: 30.5
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","4.0 stars based on 1 votes

1 reviews, Read the reviews","1 lbs - Rice Hulls (0.0 SRM) (Grain)","6 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","4 lbs - Rye, Flaked (2.0 SRM) (Grain)","2 lbs 8.0 oz - Munich Malt (9.0 SRM) (Grain)","2 lbs - Rye Malt (Weyermann) (3.0 SRM) (Grain)","1 lbs - Caramunich II (Weyermann) (63.0 SRM) (Grain)","8.0 oz - Victory Malt (25.0 SRM) (Grain)","2.0 oz - Carafa Special II (Weyermann) (415.0 SRM) (Grain)","2.5 oz - Tettnang (Tettnang Tettnager) [4.0%] - Boil 60 min (Hops)","1.00 tsp - Irish Moss (Boil 10 min) (Misc)","1.0 oz - Saaz [3.8%] - Boil 5 min (Hops)","1 pkgs - English Ale (White Labs #WLP002) (Yeast)","null"
"Double Chocolate Stout 1.3","https://beerrecipes.org/Recipe/8587/double-chocolate-stout-1-3.html","Beer Style: Foreign Extra Stout (13D)

Recipe Type: all-grain

Yield: 10 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","20 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain)","4 lbs - Oats, Flaked (1.0 SRM) (Grain)","1 lbs 8.0 oz - Caramel/Crystal Malt -120L (120.0 SRM) (Grain)","1 lbs 8.0 oz - Chocolate Malt (450.0 SRM) (Grain)","1 lbs - Blackprinz (500.0 SRM) (Grain)","1 lbs - Cara-Pils/Dextrine (2.0 SRM) (Grain)","4.0 oz - Fuggles [4.5%] - Boil 60 min (Hops)","16.00 oz - Cocoa Powder (Boil 5 min) (Misc)","2 pkgs - Bedford British Ale (White Labs #WLP006) (Yeast)","null","null","null","null"
"Pale Ale (Brygg Öl)","https://beerrecipes.org/Recipe/9059/pale-ale-brygg-l.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5.28 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","8 lbs 2.5 oz - Pilsner (2.3 SRM) (Grain)","2 lbs 6.8 oz - Münchnermalt (9.1 SRM) (Grain)","11.3 oz - Carapale (4.1 SRM) (Grain)","7.8 oz - Cara Plus 10 (5.1 SRM) (Grain)","0.7 oz - Columbus (Tomahawk) [14.0%] - Boil 60 min (Hops)","1.00 g - Protafloc (Boil 15 min) (Misc)","1.1 oz - Amarillo [9.0%] - Boil 15 min (Hops)","2.00 g - Wyeast Nutrient Blend jästnäring (Boil 15 min) (Misc)","1.4 oz - Simcoe [13.0%] - Boil 0 min (Hops)","1.1 oz - Amarillo [9.0%] - Boil 0 min (Hops)","2.00 g - Calcium Chloride (Boil 0 min) (Misc)","1.60 g - MagnesiumSulfat (Boil 0 min) (Misc)","null"
"Honey Smoked Porter","https://beerrecipes.org/Recipe/1317/honey-smoked-porter.html","Beer Style: Other Smoked Beer (22B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.073
 Final Gravity: 1.019
 Alcohol by Vol: 7.07%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.8 stars based on 13 votes

No reviews","20 lbs Pale Malt (2 Row) US (2.0 SRM)","4 lbs Smoked Malt (9.0 SRM)","2 lbs Honey Malt (25.0 SRM)","1 lbs Chocolate Malt (350.0 SRM)","2 oz Chinook [13%] (60min)","1 Pkgs SafAle English Ale (DCL Yeast #S-04) - Rather neutral.","null","null","null","null","null","null","60 min mash in at 158. 15 min mash out at 168."
"No Slack Pale Ale","https://beerrecipes.org/Recipe/7730/no-slack-pale-ale.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5.5 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","12 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","2 lbs - Munich Malt - 10L (10.0 SRM) (Grain)","1 lbs - Honey Malt (25.0 SRM) (Grain)","0.5 oz - Simcoe [11.8%] - Boil 60 min (Hops)","0.5 oz - Simcoe [11.8%] - Boil 30 min (Hops)","0.5 oz - Simcoe [11.6%] - Boil 20 min (Hops)","0.28 tsp - Irish Moss (Boil 15 min) (Misc)","1.0 oz - Simcoe [11.6%] - Steep 0 min (Hops)","0.5 oz - Simcoe [11.6%] - Boil 0 min (Hops)","1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","2.0 oz - Simcoe [11.6%] - Dry Hop 5 days (Hops)","null","null"
"Watermelon Wheat","https://beerrecipes.org/Recipe/1379/watermelon-wheat.html","Beer Style: Fruit Beer (20A)

Recipe Type: partial mash

Yield: 5 US gallons","Original Gravity: 1.068
 Final Gravity: 1.009
 Alcohol by Vol: 7.72%
 Recipe Type: partial mash
 Yield: 5.00 US Gallons","3.8 stars based on 12 votes

No reviews","1 gallon of watermelon juice","1 crushed campden tablet","1 lb. wheat grain","3/4 lb. carapils","1/10 lb. rice hulls","6.6 lbs. Breiss Bavarian wheat malt extract syrup","1 oz. Willamette hops (4.7 AA) (60 minutes - bittering)","1 tablet Whirfloc","1 oz. Citra hops (15 minutes - flavor)","1 oz. Citra hops (5 minutes - aroma)","null","null","Juice one watermelon (or try to get 1 gallon of watermelon juice).

Throw in 1 crushed campden tablet to the gallon of juice to sanitize it.

This must be done ahead of time or it will kill the yeast.



Steep the following wheat grain, carapils and rice hulls at 150-160 degrees for 30 minutes. While the grains are steeping, boil 1/2 gallon of water to sparge the grains once the water comes to a boil or 30 minutes have passed.



Add the malt extract and bittering hops and boil for 60 minutes.



15 minutes before the end of the boil, add the Whirfloc and 1-oz. of the Citra hops.



5 minutes before the end of the boil, add the remaining 1-oz. of the Citra hops for aroma.



Sparge the wort into the sanitized watermelon juice. Use water to bring the rest of the way to five gallons."
"DFH IBA","https://beerrecipes.org/Recipe/8112/dfh-iba.html","Beer Style: American Brown Ale (10C)

Recipe Type: all-grain

Yield: 5 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","11 lbs - Pilsner (2 Row) UK (1.0 SRM) (Grain)","1 lbs - Amber Malt (22.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","8.0 oz - Coffee Malt (200.0 SRM) (Grain)","8.0 oz - Corn, Flaked (1.3 SRM) (Grain)","2.0 oz - Roasted Barley (300.0 SRM) (Grain)","8.0 oz - Candi Sugar, Amber (75.0 SRM) (Grain)","2.0 oz - Magnum [14.0%] - Boil 60 min (Hops)","1.0 oz - Goldings, B.C. [5.0%] - Boil 15 min (Hops)","1.0 oz - Cascade [5.5%] - Steep 30 min (Hops)","1.0 oz - Liberty [4.3%] - Steep 30 min (Hops)","3 pkgs - Ringwood Ale (Wyeast Labs #1187) (Yeast)","null"
"Kitchen Sink Dark","https://beerrecipes.org/Recipe/9423/kitchen-sink-dark.html","Beer Style: Robust Porter (12B)

Recipe Type: partial mash

Yield: 5 US gallons","Original Gravity: 1.081 (19.5° P)
 Final Gravity: 1.019 SG (4.9° P)
 Alcohol by Vol: 8.2%
 Color SRM: 76.7  Color Sample 
 Bitterness IBU: 38.2
 Recipe Type: partial mash
 Yield: 5.00 US Gallons","4.0 stars based on 1 votes

1 reviews, Read the reviews","0.50 oz - Burton Water Salts (Mash 60 min) (Misc)","1 lbs - Chocolate Wheat Malt (400.0 SRM) (Grain)","1 lbs - Honey Malt (Gambrinus) (25.0 SRM) (Grain)","1 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain)","14.4 oz - Carafa II (412.0 SRM) (Grain)","13.8 oz - Chocolate 6-Row (Briess) (350.0 SRM) (Grain)","13.6 oz - Oats, Flaked (1.0 SRM) (Grain)","3.5 oz - Borlander Munich Malt (Briess) (10.0 SRM) (Grain)","1.0 oz - Cascade [5.5%] - Boil 60 min (Hops)","3 lbs - DME Golden Light (Briess) [Boil for 30 min] (4.0 SRM) (Grain)","3 lbs 4.8 oz - LME Porter (Briess) [Boil for 20 min] (135.0 SRM) (Grain)","2.0 oz - Cascade [5.5%] - Boil 10 min (Hops)","null"
"Epix Centennial Pale Ale #2.1","https://beerrecipes.org/Recipe/13381/epix-centennial-pale-ale-2-1.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 11 US gallons","Original Gravity: 1.059 (14.4° P)
 Final Gravity: 1.013 SG (3.3° P)
 Alcohol by Vol: 6.0%
 Color SRM: 8.9  Color Sample 
 Bitterness IBU: 44.6
 Recipe Type: all-grain
 Yield: 11.00 US Gallons","4.0 stars based on 1 votes

1 reviews, Read the reviews","21 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","3 lbs - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain)","1.5 oz - Centennial [10.0%] - Boil 60 min (Hops)","0.2 oz - Centennial [10.0%] - Boil 50 min (Hops)","1.0 oz - Centennial [10.0%] - Boil 15 min (Hops)","2.00 - Whirlfloc Tablet (Boil 15 min) (Misc)","1.00 tsp - Yeast Nutrient (Boil 15 min) (Misc)","1.0 oz - Centennial [10.0%] - Boil 10 min (Hops)","1.0 oz - Centennial [10.0%] - Boil 5 min (Hops)","2 pkgs - American West Coast Ale Yeast (BRY-97) (Danstar/ Lallemand #American Ales, IPA, Pale Ales) (Yeast)","4.0 oz - Centennial [10.0%] - Dry Hop 7 days (Hops)","null","null"
"Belgian Millet Bier","https://beerrecipes.org/Recipe/1477/belgian-millet-bier.html","Beer Style: Belgian Blond Ale (18A)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.050
 Final Gravity: 1.012
 Alcohol by Vol: 4.97%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.7 stars based on 19 votes

No reviews","9 lbs White Sorghum Malt (mash/sparge)","2 lbs While Millet (mash/sparge)","1 oz Saaz Whole Hops (60 min)","1 lb Light Belgian Candi Sugar (15 min)","1 oz Coriander (flameout)","0.75 - 1 oz Sweet Orange Peel (flameout)","Wyeast 3944 Belgian Witbier (or appropriate white beer yeast)","null","null","null","null","null","Grind millet fine. Reserve a handful to add to the boil. Mash grains at 152-154F for one to three hours or until starch conversion is complete. Boil for a total of 75 minutes, adding reserved millet flour at the beginning of the boil and the hops at 60 minutes. Add candi sugar near the end of the boil. Add crushed coriander and orange peel at knockout and steep while cooling wort."
"Bravo IPA 10G 12-8-13","https://beerrecipes.org/Recipe/9625/bravo-ipa-10g-12-8-13.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 10.5 US gallons","Original Gravity: 1.059 (14.5° P)
 Final Gravity: 1.015 SG (3.8° P)
 Alcohol by Vol: 5.9%
 Color SRM: 9.4  Color Sample 
 Bitterness IBU: 56.1
 Recipe Type: all-grain
 Yield: 10.50 US Gallons","4.0 stars based on 1 votes

1 reviews, Read the reviews","15 lbs 8.0 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain)","2 lbs - Munich Malt - 20L (20.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","1 lbs - Victory Malt (biscuit) (Briess) (28.0 SRM) (Grain)","8.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain)","1.5 oz - Bravo [14.2%] - First Wort (Hops)","1.0 oz - Bravo [14.2%] - Boil 20 min (Hops)","2.00 tsp - Irish Moss (Boil 10 min) (Misc)","1.9 oz - Amarillo Gold [6.9%] - Boil 2 min (Hops)","1 pkgs - Burton Ale (White Labs #WLP023) (Yeast)","1 pkgs - Mangrove Jack's Burton Ale M79 (Mangrove Jacks #) (Yeast)","null","null"
"NGRIPA","https://beerrecipes.org/Recipe/1185/ngripa.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.078
 Final Gravity: 1.018
 Alcohol by Vol: 7.86%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.8 stars based on 4 votes

No reviews","15 lbs pale malt","1lb munich","1 lb carapils","1 0z chinook pellets first wort","1 oz chinook pellets 60 min","2 oz amarillo pellets 30 min","2 oz amarillo pellets 5 min","2 oz amarillo pellets knock out","2 oz amarillo pellets dry hop secondary","wyeast 1056 starter 500 ml","null","null","Mash at 151 for 60 minutes

sparge and collect wort for 6 gallons final volume"
"Blackstrap Stout","https://beerrecipes.org/Recipe/388/blackstrap-stout.html","Beer Style: Sweet Stout (13B)

Recipe Type: extract

Yield: 5 US gallons","Source:
Steve Mitchell","3.7 stars based on 3 votes

No reviews","7.4 lbs. Dark malt extract syrup","1 lb. Black Patent malt","1 lb. Chocolate malt","1/2 lb. Crystal malt","1/2 lb. Flaked barley","1/2 cup Blackstrap molasses","3 ounces Cascade hops (bittering)","1 ounce Fuggles hops (finish)","Edme dry yeast","3 ounces Blackstrap molasses to prime","null","null","Standard procedures (with the exception of forgetting the Irish Moss -- but I don't think that's going to be a real big deal)."
"MAD sctoch porter","https://beerrecipes.org/Recipe/1062/mad-sctoch-porter.html","Beer Style: Robust Porter (12B)

Recipe Type: partial mash

Yield: 5 US gallons","Source:
Nathan Mack","3.9 stars based on 14 votes

No reviews","Grist:","2-row Pale malt; 80.7% 10","Crystal malt 70/80 L; 4.3% .5","Crystal malt 135/165 L; 4.3% .5","Chocolate malt; 4.3% .5","Malted White Wheat; 3.9% .5","German Smoked malt (Rauch); 1.4% .25","Light Peated malt; 1.2% .25","Hop Additions:","7.6 IBU's Magnum for 80 min.","17.2 IBU's Glacier for 40 min.","4.7 IBU's Willamette for 10 min.","All of the ingredients are listed in percents and in pounds (for all grain). I would use about 7#s of pale extract along with mashing all of the listed grains for a partial. I recommend a cali. comon yeast from white labs or the listed from wyeast."
"Blow Me Away Holiday Ale","https://beerrecipes.org/Recipe/164/blow-me-away-holiday-ale.html","Beer Style: Christmas/Winter Specialty Spiced Beer (21B)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.090
 Final Gravity: 1.025
 Alcohol by Vol: 8.51%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.8 stars based on 5 votes

No reviews","6 pounds, William's Weizenmalt syrup","2 pounds, dark DME","2-3/4 pounds, buckwheat honey","1 pound, crushed crystal malt","1/4 pound, crushed chocolate malt","2-1/2 ounces, Cascade hops (boil)","1-1/2 ounces, Hallertauer hops 3.6 alpha (boil)","3/4 ounce, Hallertauer hops (finish)","4 teaspoons, whole allspice","1 teaspoon, Irish moss","yeast","2/3 cup, corn sugar (priming)","Steep grains in 2 gallons water while heating to boil. Remove grains. Add extracts and honey. Boil 1 hour with boiling hops, add 1 teaspoon Irish moss at 30 minutes. Simmer allspice in water for 3 minutes, remove allspice and add water to primary. After fermenting, prime with corn sugar and bottle."
"Pumpkel Weizen","https://beerrecipes.org/Recipe/649/pumpkel-weizen.html","Beer Style: Spice, Herb, or Vegetable Beer (21A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.053
 Final Gravity: 1.013
 Alcohol by Vol: 5.24%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.7 stars based on 3 votes

No reviews","6.6 lbs NW Weizen LME","1.4 lbs Alexander's Kicker Pale Malt","1.0 lb Crystal (lovi 60)","1.0 oz Perle 7.4 aau (boiling)",".5 oz Tettnang 4.4 aau (finishing)","1 small roasted pumpkin (4 lbs for about 4.5 cups)","Wyeast 3068 Weihenstephan Wheat","null","null","null","null","null","Cut pumpkin in half, seed, and roast in oven at 375 for 1 1/2 hours. Peel away skin and food process to a pulp. Add grains to 3 qts water and bring to a boil. Strain grains, add 5 qts water and bring to a boil. Add LME, pumpkin mush, and Perle in hop-bag. Boil for 20 minutes and add Tettnang in hop-bag. Boil another 15 minutes. Remove hop bags and strain wort. Add strained pumpkin material to 2 quarts of water and bring to boil. Strain this back into wort. Allow to cool and pitch yeast. Secondary in 4 days and bottle when fermentation ceases."
"Garlic Beer","https://beerrecipes.org/Recipe/512/garlic-beer.html","Beer Style: Spice, Herb, or Vegetable Beer (21A)

Recipe Type: extract

Yield: 5 US gallons","Source:
Louis Clark","3.9 stars based on 11 votes

No reviews","4.5 kg Munton & Fison dark malt syrup","3/4 pound, 40L crystal malt","1/4 pound, roasted barley","2 ounces, Perle hops (7.5% alpha)","1 ounces, Willamette (4.6% alpha)","3 large garlic cloves chopped fine","1 ounce, Willamette for finishing","ale yeast","null","null","null","null","Steep crystal malt and roasted barley for 30 minutes in two gallons of water. Strain out and discard spent grains. Add malt syrup and bring to a boil. Add Perle hops and garlic and boil for 1 hour. Toss in Willamette hops in the last two minutes. Pitch yeast when cool."
"Young's Double Chocolate Stout Clone","https://beerrecipes.org/Recipe/12999/youngs-double-chocolate-stout-clone.html","Beer Style: Sweet Stout (13B)

Recipe Type: all-grain

Yield: 5.25 US gallons","Original Gravity: 1.054 (13.2° P)
 Final Gravity: 1.012 SG (3.2° P)
 Alcohol by Vol: 5.4%
 Color SRM: 31.4  Color Sample 
 Bitterness IBU: 27.1
 Recipe Type: all-grain
 Yield: 5.25 US Gallons","4.0 stars based on 1 votes

1 reviews, Read the reviews","9 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","8.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","8.0 oz - Caramunich Malt (56.0 SRM) (Grain)","8.0 oz - Chocolate Malt (350.0 SRM) (Grain)","8.0 oz - Roasted Barley (300.0 SRM) (Grain)","2.0 oz - Black (Patent) Malt (500.0 SRM) (Grain)","0.8 oz - Centennial [10.0%] - Boil 60 min (Hops)","0.26 tsp - Irish Moss (Boil 10 min) (Misc)","1 pkgs - Irish Ale Yeast (White Labs #WLP004) (Yeast)","4.72 oz - Chocolate Extract (Bottling 5 min) (Misc)","null","null","null"
